parameter,value_base,value_low,value_high,unit,source,source_grade,notes
battery_soc_max,0.90,0.85,0.95,fraction,ENGINEERING_SCENARIO,D,Operational upper bound
battery_degradation_cost,80.0,40.0,160.0,CNY/MWh-throughput,ENGINEERING_SCENARIO,D,Positive throughput cost prevents degenerate cycling; requires project-specific replacement calibration
battery_linearization_segments,8,4,16,count,NUMERICAL_SETTING,D,Incremental segments for concave transmission delivery
battery_simultaneous_tolerance,0.000001,0.000001,0.000001,MW,NUMERICAL_SETTING,D,Post-solve charge-discharge exclusivity audit
battery_state_tolerance,0.000001,0.000001,0.000001,MWh,NUMERICAL_SETTING,D,Post-solve state-equation and terminal-state audit
hydrogen_sale_price,30.0,20.0,40.0,CNY/kg,ENGINEERING_SCENARIO,D,Delivered hydrogen sale-price scenario before transport cost
hydrogen_transport_cost,2.0,1.0,5.0,CNY/kg,ENGINEERING_SCENARIO,D,Island-to-offtaker transport and handling proxy
electrolyzer_variable_cost,0.5,0.2,2.0,CNY/kg,ENGINEERING_SCENARIO,D,Non-electric variable O&M proxy
hydrogen_storage_loss_per_hour,0.0,0.0,0.00010,fraction/h,ENGINEERING_SCENARIO,D,Mass-loss proxy; compressed storage design must later calibrate this
hydrogen_water_consumption,0.009,0.009,0.010,m3/kg,STOICHIOMETRY,A,Water mass requirement per kg hydrogen; energy is already within integrated SEC boundary
desalinated_water_cost,10.0,5.0,30.0,CNY/m3,ENGINEERING_SCENARIO,D,Delivered desalinated-water cost proxy without additional electrical load
hydrogen_state_tolerance,0.000001,0.000001,0.000001,kg,NUMERICAL_SETTING,D,Post-solve inventory and terminal-state audit
compute_rigid_service_price,850.0,500.0,1200.0,CNY/MWh-IT,ENGINEERING_SCENARIO,D,Contracted rigid-compute service value proxy; requires customer-contract calibration
compute_flex_service_price,600.0,300.0,900.0,CNY/MWh-IT,ENGINEERING_SCENARIO,D,Deferrable compute-service value proxy for low-latency-insensitive work
compute_variable_cost,20.0,5.0,80.0,CNY/MWh-IT,ENGINEERING_SCENARIO,D,Non-electric data-center variable O&M proxy excluding facility electricity
compute_rigid_sla_penalty,10000.0,5000.0,50000.0,CNY/MWh-IT-unserved,ENGINEERING_SCENARIO,D,Penalty proxy for unserved rigid compute demand
compute_flex_queue_capacity,500.0,240.0,2000.0,MWh-IT,ENGINEERING_SCENARIO,D,Maximum admitted flexible-work backlog; substitute workload SLA data when available
compute_flex_max_delay,24.0,4.0,72.0,h,ENGINEERING_SCENARIO,D,Maximum flexible workload delay represented with cumulative service constraints
compute_ramp_up,100.0,20.0,200.0,MW-IT/h,ENGINEERING_SCENARIO,D,IT-load ramp-up proxy; requires facility commissioning data
compute_ramp_down,100.0,20.0,200.0,MW-IT/h,ENGINEERING_SCENARIO,D,IT-load ramp-down proxy; requires facility commissioning data
compute_state_tolerance,0.000001,0.000001,0.000001,MWh-IT,NUMERICAL_SETTING,D,Post-solve flexible-work queue and terminal-state audit
compute_spot_service_price,420.0,250.0,800.0,CNY/MWh-IT,ENGINEERING_SCENARIO,D,Illustrative nationwide elastic-compute service value; replace with workload-specific bids and fibre SLA data
hydrogen_lhv_kwh_per_kg,33.33,33.30,33.33,kWh/kg,https://webbook.nist.gov/cgi/cbook.cgi?ID=C1333740&Mask=1,A,Hydrogen lower heating value used only for fuel-cell return conversion
fuel_cell_efficiency_lhv,0.55,0.45,0.60,fraction,https://www.energy.gov/cmei/fuels/fuel-cells,A,Electrical conversion scenario on a lower-heating-value basis
fuel_cell_variable_cost,35.0,15.0,100.0,CNY/MWh-electric,ENGINEERING_SCENARIO,D,Non-fuel variable operating cost proxy for stationary hydrogen fuel-cell generation
